Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,13,9,4,,FULL SENSE,5,2,3,,59:11
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,13,9,4,,FULL SENSE,5,2,3,,44:30
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,13,6,7,,Crazy Raccoon,9,3,6,,59:48
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,13,6,7,,Crazy Raccoon,8,2,6,,52:48
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,13,7,6,,Cloud9,11,6,5,,59:50
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,11,7,4,,Cloud9,13,8,5,,55:26
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,14,8,4,2,Cloud9,12,8,4,0,
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Gambit Esports,6,4,2,,Team Secret,13,5,8,,1:09:15
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Gambit Esports,13,12,1,,Team Secret,0,0,0,,26:56
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Gambit Esports,13,7,6,,Team Secret,6,1,5,,
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,Sentinels,13,6,7,,FURIA,9,3,6,,1:01:06
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,Sentinels,10,4,6,,FURIA,13,5,8,,55:07
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,Sentinels,13,9,4,,FURIA,9,6,3,,
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Haven,KRÜ Esports,5,4,1,,Team Liquid,13,5,8,,46:06
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Ascent,KRÜ Esports,8,3,5,,Team Liquid,13,4,9,,46:59
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Icebox,Vision Strikers,10,6,4,,FNATIC,13,7,6,,1:12:49
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Haven,Vision Strikers,13,6,7,,FNATIC,10,4,6,,52:06
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Fracture,Vision Strikers,6,3,3,,FNATIC,13,4,9,,
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Breeze,Envy,13,6,7,,X10 Esports,8,2,6,,49:02
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Ascent,Envy,13,7,6,,X10 Esports,7,2,5,,43:51
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Split,Gambit Esports,13,7,6,,Team Vikings,6,1,5,,1:00:28
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Bind,Gambit Esports,5,4,1,,Team Vikings,13,5,8,,48:35
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Icebox,Gambit Esports,14,3,9,2,Team Vikings,12,3,9,0,
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Breeze,Team Liquid,14,4,8,2,Sentinels,12,4,8,0,1:04:33
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Bind,Team Liquid,2,2,0,,Sentinels,13,3,10,,38:32
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Split,Team Liquid,13,6,7,,Sentinels,10,4,6,,
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Icebox,Acend,9,6,3,,Keyd Stars,13,7,6,,1:03:39
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Bind,Acend,13,9,4,,Keyd Stars,3,0,3,,43:15
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Breeze,Acend,13,9,4,,Keyd Stars,10,7,3,,
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Split,Team Secret,13,8,5,,Crazy Raccoon,5,1,4,,52:26
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Haven,Team Secret,13,10,3,,Crazy Raccoon,2,0,2,,35:48
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,Fracture,KRÜ Esports,11,6,5,,FURIA,13,7,6,,1:12:57
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,Ascent,KRÜ Esports,13,8,5,,FURIA,8,4,4,,50:47
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,Haven,KRÜ Esports,13,7,6,,FURIA,9,4,5,,
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Split,FULL SENSE,7,3,4,,Cloud9,13,4,9,,57:52
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Breeze,FULL SENSE,12,6,6,0,Cloud9,14,6,6,2,59:16
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Ascent,Acend,13,8,5,,Envy,8,4,4,,57:38
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Bind,Acend,13,9,4,,Envy,11,8,3,,57:53
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Icebox,Keyd Stars,6,4,2,,X10 Esports,13,5,8,,52:54
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Haven,Keyd Stars,5,3,2,,X10 Esports,13,4,9,,46:20
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Fracture,Sentinels,13,9,4,,KRÜ Esports,7,4,3,,54:51
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Haven,Sentinels,11,8,3,,KRÜ Esports,13,9,4,,54:18
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Split,Sentinels,11,8,3,,KRÜ Esports,13,9,4,,
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Ascent,Vision Strikers,10,1,9,,Cloud9,13,2,11,,1:02:01
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Split,Vision Strikers,13,6,7,,Cloud9,9,3,6,,51:04
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Breeze,Vision Strikers,11,4,7,,Cloud9,13,5,8,,
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Haven,Team Vikings,6,3,3,,Team Secret,13,4,9,,58:45
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Icebox,Team Vikings,7,4,3,,Team Secret,13,5,8,,47:29
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Icebox,Envy,13,5,8,,X10 Esports,10,3,7,,1:01:49
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Split,Envy,8,6,2,,X10 Esports,13,7,6,,47:24
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Haven,Envy,12,9,3,0,X10 Esports,14,9,3,2,
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Icebox,Acend,13,8,5,,Team Secret,8,4,4,,59:52
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Breeze,Acend,13,8,5,,Team Secret,6,2,4,,40:37
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Bind,Team Liquid,13,6,7,,Cloud9,10,4,6,,1:09:00
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Ascent,Team Liquid,13,5,8,,Cloud9,11,4,7,,58:36
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Fracture,Gambit Esports,13,9,4,,X10 Esports,7,4,3,,59:43
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Ascent,Gambit Esports,7,5,2,,X10 Esports,13,6,7,,46:38
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Breeze,Gambit Esports,13,7,6,,X10 Esports,7,2,5,,
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,Haven,FNATIC,13,8,4,1,KRÜ Esports,15,8,4,3,1:18:31
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,Icebox,FNATIC,13,10,3,,KRÜ Esports,6,4,2,,43:09
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,Split,FNATIC,8,5,3,,KRÜ Esports,13,6,7,,
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Bind,Acend,13,8,5,,Team Liquid,6,2,4,,1:02:47
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Split,Acend,13,11,2,,Team Liquid,5,4,1,,43:35
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Breeze,Gambit Esports,13,4,9,,KRÜ Esports,8,0,8,,1:23:23
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Ascent,Gambit Esports,7,5,2,,KRÜ Esports,13,6,7,,48:31
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Bind,Gambit Esports,18,4,8,6,KRÜ Esports,16,4,8,4,
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Breeze,Acend,11,9,2,,Gambit Esports,13,10,3,,1:12:20
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Ascent,Acend,13,7,6,,Gambit Esports,7,2,5,,43:25
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Fracture,Acend,3,1,2,,Gambit Esports,13,2,11,,33:16
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Icebox,Acend,14,7,5,2,Gambit Esports,12,7,5,0,53:21
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Split,Acend,13,7,6,,Gambit Esports,8,3,5,,
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Breeze,100 Thieves,10,7,3,,Gen.G,13,8,5,,1:02:54
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Split,100 Thieves,13,10,3,,Gen.G,8,6,2,,50:07
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Icebox,100 Thieves,13,9,4,,Gen.G,4,1,3,,36:07
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Haven,XSET,2,2,0,,Luminosity,13,3,10,,36:07
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Ascent,XSET,13,8,5,,Luminosity,8,4,4,,55:49
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Split,XSET,13,5,8,,Luminosity,10,3,7,,56:28
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,Split,100 Thieves,9,5,4,,XSET,13,6,7,,1:00:20
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,Breeze,100 Thieves,13,10,3,,XSET,8,6,2,,45:40
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,Ascent,100 Thieves,13,6,7,,XSET,9,3,6,,57:58
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Breeze,FaZe Clan,13,9,4,,Rise,8,5,3,,49:02
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Ascent,FaZe Clan,8,7,1,,Rise,13,8,5,,49:12
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Bind,FaZe Clan,7,5,2,,Rise,13,6,7,,48:14
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Breeze,Version1,5,4,1,,Cloud9,13,5,8,,38:25
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Icebox,Version1,9,5,4,,Cloud9,13,6,7,,48:49
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Ascent,Rise,12,7,5,0,Cloud9,14,7,5,2,1:00:15
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Haven,Rise,13,8,5,,Cloud9,4,0,4,,35:40
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Breeze,Rise,14,5,7,2,Cloud9,13,5,7,1,1:41:32
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Haven,Gen.G,13,6,7,,Luminosity,9,3,6,,48:08
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Split,Gen.G,13,8,5,,Luminosity,9,5,4,,53:04
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Icebox,FaZe Clan,10,3,7,,Version1,13,4,9,,50:32
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Breeze,FaZe Clan,10,6,4,,Version1,13,7,6,,57:17
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Ascent,Cloud9,13,11,2,,Gen.G,1,0,1,,32:23
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Split,Cloud9,12,7,5,0,Gen.G,14,7,5,2,59:50
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Breeze,Cloud9,13,6,7,,Gen.G,10,4,6,,52:39
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,Bind,XSET,13,7,6,,Version1,7,2,5,,50:27
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,Icebox,XSET,13,9,4,,Version1,4,1,3,,45:21
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Breeze,100 Thieves,11,7,4,,Rise,13,8,5,,59:43
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Ascent,100 Thieves,13,8,5,,Rise,10,6,4,,55:32
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Haven,100 Thieves,11,7,4,,Rise,13,8,5,,54:44
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Bind,Cloud9,13,7,6,,XSET,7,2,5,,43:54
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Ascent,Cloud9,14,7,5,2,XSET,12,7,5,0,1:05:32
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Icebox,100 Thieves,14,8,4,2,Cloud9,12,8,4,0,1:16:47
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Breeze,100 Thieves,5,4,1,,Cloud9,13,5,8,,44:08
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Haven,100 Thieves,9,6,3,,Cloud9,13,7,6,,49:09
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Breeze,Rise,8,5,3,,Cloud9,13,6,7,,52:51
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Split,Rise,0,0,0,,Cloud9,13,1,12,,31:34
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Bind,Rise,11,6,5,,Cloud9,13,7,6,,
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Ascent,Sharks Esports,13,10,3,,E-Xolos LAZER,2,0,2,,34:08
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Haven,Sharks Esports,13,10,3,,E-Xolos LAZER,5,3,2,,1:12:44
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Split,Australs,13,9,4,,FURIA,8,5,3,,43:51
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Haven,Australs,10,8,2,,FURIA,13,9,4,,47:23
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Ascent,Australs,13,7,6,,FURIA,9,4,5,,49:04
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Split,Sharks Esports,14,7,5,2,Australs,12,7,5,0,1:21:32
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Ascent,Sharks Esports,11,7,4,,Australs,13,8,5,,52:03
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Icebox,Sharks Esports,12,6,6,0,Australs,14,6,6,2,1:01:08
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Split,Six Karma,13,8,5,,Gamelanders Blue,10,6,4,,52:57
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Ascent,Six Karma,9,3,6,,Gamelanders Blue,13,4,9,,50:05
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Breeze,Six Karma,3,2,1,,Gamelanders Blue,13,3,10,,35:04
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Liberty vs INFINITY,Bind,Liberty,13,7,6,,INFINITY,6,1,5,,51:52
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Liberty vs INFINITY,Icebox,Liberty,13,9,4,,INFINITY,5,2,3,,40:45
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Gamelanders Blue vs Liberty,Bind,Gamelanders Blue,13,7,6,,Liberty,10,5,5,,1:02:10
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Gamelanders Blue vs Liberty,Icebox,Gamelanders Blue,14,7,5,2,Liberty,12,7,5,0,59:37
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),E-Xolos LAZER vs FURIA,Haven,E-Xolos LAZER,9,5,4,,FURIA,13,6,7,,
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),E-Xolos LAZER vs FURIA,Icebox,E-Xolos LAZER,7,2,5,,FURIA,13,3,10,,
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Bind,Six Karma,11,4,7,,INFINITY,13,5,8,,
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Breeze,Six Karma,14,9,3,2,INFINITY,12,9,3,0,
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Split,Six Karma,13,9,4,,INFINITY,6,3,3,,
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Sharks Esports vs FURIA,Haven,Sharks Esports,11,6,5,,FURIA,13,7,6,,56:12
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Sharks Esports vs FURIA,Ascent,Sharks Esports,10,6,4,,FURIA,13,7,6,,1:08:41
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Bind,Liberty,12,3,9,0,Six Karma,14,3,9,2,58:17
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Split,Liberty,13,8,5,,Six Karma,4,0,4,,42:05
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Ascent,Liberty,17,7,5,5,Six Karma,15,7,5,3,1:15:03
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Australs vs Liberty,Split,Australs,13,7,6,,Liberty,9,4,5,,49:50
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Australs vs Liberty,Icebox,Australs,13,10,3,,Liberty,7,5,2,,46:48
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Icebox,Gamelanders Blue,13,4,9,,FURIA,11,3,8,,58:35
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Ascent,Gamelanders Blue,5,2,3,,FURIA,13,3,10,,40:47
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Split,Gamelanders Blue,8,2,6,,FURIA,13,3,10,,1:08:01
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Icebox,Australs,2,2,0,,FURIA,13,3,10,,50:44
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Ascent,Australs,6,3,3,,FURIA,13,4,9,,42:14
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Split,Australs,5,3,2,,FURIA,13,4,9,,39:25
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,G2 Esports vs Anubis Gaming,Bind,G2 Esports,13,11,2,,Anubis Gaming,4,3,1,,35:55
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,G2 Esports vs Anubis Gaming,Breeze,G2 Esports,13,6,7,,Anubis Gaming,11,5,6,,53:41
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,FUT Esports vs Oxygen Esports,Split,FUT Esports,13,6,7,,Oxygen Esports,6,0,6,,41:16
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,FUT Esports vs Oxygen Esports,Ascent,FUT Esports,13,6,7,,Oxygen Esports,10,4,6,,42:37
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Breeze,Papara SuperMassive,13,5,8,,Guild Esports,8,1,7,,47:38
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Icebox,Papara SuperMassive,15,8,4,3,Guild Esports,17,8,4,5,1:04:51
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Split,Papara SuperMassive,8,6,2,,Guild Esports,13,7,6,,46:02
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Team Liquid vs One Breath Gaming,Ascent,Team Liquid,13,12,1,,One Breath Gaming,0,0,0,,27:05
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Team Liquid vs One Breath Gaming,Haven,Team Liquid,13,7,6,,One Breath Gaming,9,4,5,,51:54
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Anubis Gaming vs Oxygen Esports,Split,Anubis Gaming,12,3,9,0,Oxygen Esports,14,3,9,2,48:23
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Anubis Gaming vs Oxygen Esports,Ascent,Anubis Gaming,3,3,0,,Oxygen Esports,13,4,9,,31:02
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Breeze,Papara SuperMassive,13,9,4,,One Breath Gaming,5,2,3,,38:12
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Split,Papara SuperMassive,10,5,5,,One Breath Gaming,13,6,7,,50:15
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Haven,Papara SuperMassive,13,9,4,,One Breath Gaming,3,0,3,,32:11
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,Ascent,G2 Esports,13,10,3,,FUT Esports,2,0,2,,29:28
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,Breeze,G2 Esports,22,9,3,10,FUT Esports,20,9,3,8,1:31:44
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,Icebox,G2 Esports,7,4,3,,FUT Esports,13,5,8,,43:19
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Guild Esports vs Team Liquid,Bind,Guild Esports,6,3,3,,Team Liquid,13,4,9,,42:01
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Guild Esports vs Team Liquid,Split,Guild Esports,8,5,3,,Team Liquid,13,6,7,,45:23
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Guild Esports vs Oxygen Esports,Split,Guild Esports,13,6,7,,Oxygen Esports,8,2,6,,43:46
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Guild Esports vs Oxygen Esports,Breeze,Guild Esports,13,4,9,,Oxygen Esports,11,3,8,,51:09
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,Split,FUT Esports,13,7,6,,Papara SuperMassive,8,3,5,,44:27
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,Haven,FUT Esports,6,4,2,,Papara SuperMassive,13,5,8,,37:29
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,Icebox,FUT Esports,13,10,3,,Papara SuperMassive,4,2,2,,40:13
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,Ascent,G2 Esports,8,6,2,,Team Liquid,13,7,6,,49:14
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,Bind,G2 Esports,13,8,5,,Team Liquid,8,4,4,,48:43
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,Haven,G2 Esports,9,4,5,,Team Liquid,13,5,8,,54:22
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Guild Esports vs FUT Esports,Haven,Guild Esports,13,12,1,,FUT Esports,2,2,0,,32:14
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Guild Esports vs FUT Esports,Icebox,Guild Esports,13,9,4,,FUT Esports,7,4,3,,40:45
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,G2 Esports vs Guild Esports,Bind,G2 Esports,9,8,1,,Guild Esports,13,9,4,,49:38
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,G2 Esports vs Guild Esports,Haven,G2 Esports,11,3,8,,Guild Esports,13,4,9,,53:44
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Haven,Team Liquid,5,1,4,,Guild Esports,13,2,11,,42:16
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Ascent,Team Liquid,13,5,8,,Guild Esports,10,3,7,,51:13
